location_name,operated_by,website,phone,Marked accessible by ODS,In GTA?,Assigned,Status,Contact email,Contact phone,Questions,Wheelchair-accessible entrance,Portable ramp at entrance,Automatic doors,Wheelchair-accessible bathrooms,Disability-sensitivity training,Information available in braille or audio,Personalized or individual service is offered,Accessible parking,Queue accomodations,Marked accessible by ODS,In GTA?,Assigned,Status,Contact email,Contact phone,Questions,Wheelchair-accessible entrance,Portable ramp at entrance,Automatic doors,Wheelchair-accessible bathrooms,Disability-sensitivity training,Information available in braille or audio,Personalized or individual service is offered,Accessible parking,Queue accomodations,saturday,sunday,age_threshold,french_language_services,asl_interpretation,paid_parking,public_transit,additional_information,additional_information_fr,first_nations,free_parking,weeks_pregnant,general_population,holiday_hours,email,temporarily_closed
Milton District Hospital,Halton Healthcare Services - Milton,https://www.haltonhealthcare.on.ca/,905-203-7963,,Yes,Philip,Sent email,pr@haltonhealthcare.on.ca,905-878-2383,,,,,,,,,,,,Yes,Philip,Sent email,pr@haltonhealthcare.on.ca,905-878-2383,,,,,,,,,,,9:00-16:30,9:00-16:30,,,,,,,,,,,,,,
Oakville Trafalgar Memorial Hospital,Halton Healthcare Services - Oakville,https://www.haltonhealthcare.on.ca/,905-203-7963,,Yes,Philip,Sent email,pr@haltonhealthcare.on.ca,905-845-2571,,,,,,,,,,,,Yes,Philip,Sent email,pr@haltonhealthcare.on.ca,905-845-2571,,,,,,,,,,,9:00-16:30,9:00-16:30,,,,,,,,,,,,,,
Georgetown Hospital,Halton Healthcare Services - Georgetown,https://www.haltonhealthcare.on.ca/,905-203-7963,,No,Philip,Sent email,pr@haltonhealthcare.on.ca,905-873-0111,,,,,,,,,,,,No,Philip,Sent email,pr@haltonhealthcare.on.ca,905-873-0111,,,,,,,,,,,9:00-16:30,9:00-16:30,,,,,,,,,,,,,,
MacKenzie Health,MacKenzie Health,https://www.mackenziehealth.ca/en/about-us/get-the-latest-information-on-covid-19.aspx,905-883-1212 ext. 2004,,Yes,Philip,Sent email,patientrelations@mackenziehealth.ca,Richmond Hill: 905-883-1212 (there is a second assessment centre without a phone number associated),,,,,,,,,,,,Yes,Philip,Sent email,patientrelations@mackenziehealth.ca,Richmond Hill: 905-883-1212 (there is a second assessment centre without a phone number associated),,,,,,,,,,,10:00-17:30,10:00-17:30,6m,,,,,,,,,20,,,,
Southlake Regional Health Centre,Southlake Regional Health Centre,https://southlake.ca/covid-19/#assessment-centre,905-895-4521,,Yes,Philip,Sent email,"Kathryn Perrier, manager of corporate communications: kperrier@southlakeregional.org",Main hospital phone: 905-895-4521,,,,,,,,,,,,Yes,Philip,Sent email,"Kathryn Perrier, manager of corporate communications: kperrier@southlakeregional.org",Main hospital phone: 905-895-4521,,,,,,,,,,,9:00-21:00,9:00-21:00,0m,Yes,Yes,Yes,Yes,"Located in the tent in the parking lot. When you arrive, go to the main entrance of the Emergency Department.","Situé dans la tente dans le stationnement. À votre arrivée, dirigez-vous vers l’entrée principale du service des urgences.",,,,,,,
Credit Valley – Drive-Thru,Trillium Health Partners,https://trilliumhealthpartners.ca/covid-19/A/assessment.html#starthere,,Yes,Yes,Philip,Covered Big IDeA features + queuing,Patient.Relations@thp.ca,Credit Valley hospital: (905) 813-2200,,Yes,No,Yes,Yes,Yes,No,No (Except language line for interpretation),Yes,It is possible to reserve time slots,Yes,Yes,Philip,Covered Big IDeA features + queuing,Patient.Relations@thp.ca,Credit Valley hospital: (905) 813-2200,,Yes,No,Yes,Yes,Yes,No,No (Except language line for interpretation),Yes,It is possible to reserve time slots,8:30-19:30,8:30-19:30,1y,Yes,No,,Yes,Drive-through only.,,,Yes,,,,,
Credit Valley Hospital – Valley House,Trillium Health Partners - Credit Valley Hospital,https://trilliumhealthpartners.ca/covid-19/A/assessment.html#starthere,,,Yes,Philip,Covered Big IDeA features + queuing,Patient.Relations@thp.ca,Credit Valley hospital: (905) 813-2200,,No,No,No,No,Yes,No,No (Except language line for interpretation),Yes,No,,Yes,Philip,Covered Big IDeA features + queuing,Patient.Relations@thp.ca,Credit Valley hospital: (905) 813-2200,,No,No,No,No,Yes,No,No (Except language line for interpretation),Yes,No,8:30-19:30,8:30-19:30,1y,Yes,No,,Yes,,,,Yes,,,,,
Trillium Health Partners - Clinical Administrative Building,Trillium Health Partners - Clin Admin Bldg,https://trilliumhealthpartners.ca/covid-19/A/assessment.html#starthere,,,No,Philip,Covered Big IDeA features + queuing,Patient.Relations@thp.ca,Missisauga hospital: (905) 848-7100,,Yes,No,Yes,Yes,Yes,No,No (Except language line for interpretation),Yes,No,,No,Philip,Covered Big IDeA features + queuing,Patient.Relations@thp.ca,Missisauga hospital: (905) 848-7100,,Yes,No,Yes,Yes,Yes,No,No (Except language line for interpretation),Yes,No,8:30-19:30,8:30-19:30,1y,No,No,,Yes,,,,Yes,,,,,
William Osler Health System - Humber College,William Osler Health System - Etobicoke,https://www.williamoslerhs.ca/patients-and-families/preparing-for-your-visit-or-stay/coronavirus-information-for-patients-families/assessment-centre-for-covid-19,,Yes,Yes,Philip,"Drive-through centre, by appointment only",https://www.williamoslerhs.ca/about-osler/contact-us/contact-us,Hospital's main line: 905/416-494-2120.,,,,,,,,,,,Yes,Yes,Philip,"Drive-through centre, by appointment only",https://www.williamoslerhs.ca/about-osler/contact-us/contact-us,Hospital's main line: 905/416-494-2120.,,,,,,,,,,,8:00-18:00,8:00-18:00,2y,No,No,,Yes,,,,Yes,,,,,
"William Osler Health System - South Fletcher's Sportsplex, Brampton",William Osler Health System,https://www.williamoslerhs.ca/patients-and-families/preparing-for-your-visit-or-stay/coronavirus-information-for-patients-families/assessment-centre-for-covid-19,,,Yes,Philip,"Drive-through centre, by appointment only",https://www.williamoslerhs.ca/about-osler/contact-us/contact-us,Hospital's main line: 905/416-494-2120.,,,,,,,,,,,,Yes,Philip,"Drive-through centre, by appointment only",https://www.williamoslerhs.ca/about-osler/contact-us/contact-us,Hospital's main line: 905/416-494-2120.,,,,,,,,,,,8:00-18:00,8:00-18:00,2y,No,No,,Yes,Signs are posted at entry points. Enter off of McLaughlin Road.,,,Yes,,,,,
