location_id,Assessment centre,operated by,latitude,phu_id,PHU,Phone number,Website,friday,accessible,saturday,email
1,Kirkland and District Hospital,Kirkland Lake Hospital,48.153552,1,Timiskaming Health Unit,705-568-2127,,9:00-13:00,Yes,,
2,Collingwood Health Centre,Georgian Bay Family Health Team and Collingwood General & Marine Hospital,44.501231,2,Simcoe Muskoka District Health Unit,705-444-5885,www.gbfht.ca/cac,8:00-18:00,Yes,,
3,Midland Assessment Centre,Georgian Bay General Hospital,44.73475,2,Simcoe Muskoka District Health Unit,705-529-1025,http://gbgh.on.ca/covid-19-self-assessment-tool/,8:00-16:00,Yes,8:00-20:00,
4,Milton District Hospital,Halton Healthcare Services - Milton,43.497418,3,Halton Region Health Department,905-203-7963,https://www.haltonhealthcare.on.ca/,9:00-16:30,,9:00-16:30,
5,Oakville Trafalgar Memorial Hospital,Halton Healthcare Services - Oakville,43.450869,3,Halton Region Health Department,905-203-7963,https://www.haltonhealthcare.on.ca/,9:00-16:30,,9:00-16:30,
6,Georgetown Hospital,Halton Healthcare Services - Georgetown,43.644985,3,Halton Region Health Department,905-203-7963,https://www.haltonhealthcare.on.ca/,9:00-16:30,,9:00-16:30,
7,Headwaters Health Care Centre,Headwaters Health Care Centre,43.920672,4,Wellington-Dufferin-Guelph Health Unit,519-822-2715 ext. 7006,https://www.wdgpublichealth.ca/your-health/covid-19-information-public/assessment-centres-wdg,9:00-16:00,No,9:00-16:00,
8,MacKenzie Health,MacKenzie Health,43.870017,5,York Region Public Health Services,905-883-1212 ext. 2004,https://www.mackenziehealth.ca/en/about-us/get-the-latest-information-on-covid-19.aspx,10:00-21:30,,10:00-17:30,
9,Markham Stouffville Hospital,Markham Stouffville Hospital,43.884138,5,York Region Public Health Services,,https://www.msh.on.ca/about-us/covid-19-information-page#assessment,9:00-19:00,Yes,9:00-19:00,
10,Bracebridge Rotary Centre,Muskoka Algonquin Healthcare,45.037419,2,Simcoe Muskoka District Health Unit,1-888-383-7009,https://www.mahc.ca/en/services/covid19.aspx#,9:00-17:00,Yes,,
11,Huntsville District Memorial Hospital,Muskoka Algonquin Healthcare,45.339214,2,Simcoe Muskoka District Health Unit,1-888-383-7009,https://www.mahc.ca/en/services/covid19.aspx#,9:00-17:00,Yes,,
12,Orillia Soldiers' Memorial Hospital,Orillia Soldiers' Memorial Hospital,44.605137,2,Simcoe Muskoka District Health Unit,705-325-2201,https://www.osmh.on.ca/covid-19/,11:00-18:30,Yes,11:00-14:30,
13,Barrie Community Health Centre,Royal Victoria Regional Health Centre,44.34716,2,Simcoe Muskoka District Health Unit,,https://www.rvh.on.ca/SitePages/coronavirus.aspx,8:00-16:30,Yes,9:00-14:00,
14,Southlake Regional Health Centre,Southlake Regional Health Centre,44.060427,5,York Region Public Health Services,905-895-4521,https://southlake.ca/covid-19/#assessment-centre,9:00-21:00,Yes,9:00-21:00,
15,Stevenson Memorial Hospital,Stevenson Memorial Hospital,44.155578,2,Simcoe Muskoka District Health Unit,705-435-6281,http://www.stevensonhospital.ca/news/index.html?id=265,8:00-12:00,Yes,,
16,Trillium Health Partners - Clinical Administrative Building,Trillium Health Partners - Clin Admin Bldg,43.572542,6,Peel Public Health,,https://trilliumhealthpartners.ca/covid-19/A/assessment.html#starthere,8:30-19:30,Yes,8:30-19:30,
17,Credit Valley – Drive-Thru,Trillium Health Partners,43.558655,6,Peel Public Health,,https://trilliumhealthpartners.ca/covid-19/A/assessment.html#starthere,8:30-19:30,Yes,8:30-19:30,
18,Credit Valley Hospital – Valley House,Trillium Health Partners - Credit Valley Hospital,43.558255,6,Peel Public Health,,https://trilliumhealthpartners.ca/covid-19/A/assessment.html#starthere,8:30-19:30,No,8:30-19:30,
19,William Osler Health System - Humber College,William Osler Health System - Etobicoke,43.723113,6,Toronto Public Health,,https://www.williamoslerhs.ca/patients-and-families/preparing-for-your-visit-or-stay/coronavirus-information-for-patients-families/assessment-centre-for-covid-19,8:00-18:00,Yes,8:00-18:00,
