Assessment centre,operated by,Website,Phone number,Marked accessible by ODS,Contact email,Contact phone,friday,location_id,latitude
Humber River Hospital Assessment Centre,Humber River Hospital,https://www.hrh.ca/covid-19/,416-747-6740,,"Claudette Moulton, patien representative at HRH: cmoulton@hrh.ca",Centre manager Denise Scott:  416 243 4122,,,
Michael Garron Hospital - Emergency Department,Michael Garron Hospital,https://www.tehn.ca/programs-services/covid-19-assessment-centre,416-469-6858,,patient.relations@tehn.ca,Michael Garron Hospital patient relations line: 416-469-6096,,,
Michael Garron Hospital - Outpatient Clinic,Michael Garron Hospital,https://www.tehn.ca/programs-services/covid-19-assessment-centre,416-469-6858,,,,,,
Market Place Temporary Assessment Centre,Michael Garron Hospital,https://www.tehn.ca/programs-services/covid-19-assessment-centre,416-469-6858,,,,,,
Mount Sinai Hospital,Mount Sinai Hospital,https://www.sinaihealth.ca/covid19/,416-586-4800 ext. 4924 or 4893,,upasana.saha@sinaihealth.ca,General inquiries: 416-461-8252,,,
North York General Hospital - Branson,North York General Hospital - Branson,https://nygh.on.ca/covid-19-updates,416-756-6000,,patientexperience@nygh.on.ca,Branson Ambulatory Care Centre: 416-633-9420,,,
North York General Hospital - Emergency Department,North York General Hospital,,,,patientexperience@nygh.on.ca,General site: 416-756-6000,,,
Scarborough Health Network - Birchmount,Scarborough Health Network - Birchmount,https://www.shn.ca/covid19-assess/,416-495-2601,,covidassessmentcentre@shn.ca,Birchmount: 416-495-2400 ext. 5424,,,
Scarborough Health Network Centenary Site,Scarborough Health Network Centenary Site,https://www.shn.ca/covid19-assess/,416-495-2601,,covidassessmentcentre@shn.ca,Centenary: 416-284-8131 ext. 4742,,,
Sunnybrook Health Sciences Centre,Sunnybrook Health Sciences Centre,https://sunnybrook.ca/content/?page=novel-coronavirus-covid-19-assessment-centre,416-480-6100 ext 1629,,questions@sunnybrook.ca,Sunnybrook Bayview Campus contact: 416-480-6100,,,
Toronto Western Hospital,UHN - Toronto Western Hospital,https://www.uhn.ca/Covid19,416-603-5809 ext. 6110,,patientrelations@uhn.ca,Toronto Western Hospital general inquiries line: 416 603 2581,,,
St. Joseph's Health Centre,Unity - St. Joseph's Health Centre (SJHC),https://unityhealth.to/patients-and-families/coronavirus-information-for-patients-and-families/,416-530-6720,,https://unityhealth.to/contact/,"St. Joseph's: 416-530-6000, ",,,
St Michael's Hospital,Unity - St Michael's Hospital (SMH),https://unityhealth.to/patients-and-families/coronavirus-information-for-patients-and-families/,416-864-5800,,https://unityhealth.to/contact/,St. Michael’s: 416-360-4000,,,
Womens College Hospital,Womens College Hospital,https://www.womenscollegehospital.ca/patients-and-caregivers/coronavirus-(covid-19)-information-for-patients-and-visitors/,,,info@wchospital.ca,"Assessment Centre information information line at: 416-800-1945, hospital switchboard: 416-323-6400",,,
Milton District Hospital,Halton Healthcare Services - Milton,https://www.haltonhealthcare.on.ca/,905-203-7963,,pr@haltonhealthcare.on.ca,905-878-2383,,,
Oakville Trafalgar Memorial Hospital,Halton Healthcare Services - Oakville,https://www.haltonhealthcare.on.ca/,905-203-7963,,pr@haltonhealthcare.on.ca,905-845-2571,,,
Georgetown Hospital,Halton Healthcare Services - Georgetown,https://www.haltonhealthcare.on.ca/,905-203-7963,,pr@haltonhealthcare.on.ca,905-873-0111,,,
MacKenzie Health,MacKenzie Health,https://www.mackenziehealth.ca/en/about-us/get-the-latest-information-on-covid-19.aspx,905-883-1212 ext. 2004,,patientrelations@mackenziehealth.ca,Richmond Hill: 905-883-1212 (there is a second assessment centre without a phone number associated),,,
Southlake Regional Health Centre,Southlake Regional Health Centre,https://southlake.ca/covid-19/#assessment-centre,905-895-4521,,"Kathryn Perrier, manager of corporate communications: kperrier@southlakeregional.org",Main hospital phone: 905-895-4521,,,
Credit Valley – Drive-Thru,Trillium Health Partners,https://trilliumhealthpartners.ca/covid-19/A/assessment.html#starthere,,Yes,Patient.Relations@thp.ca,Credit Valley hospital: (905) 813-2200,,,
Credit Valley Hospital – Valley House,Trillium Health Partners - Credit Valley Hospital,https://trilliumhealthpartners.ca/covid-19/A/assessment.html#starthere,,,Patient.Relations@thp.ca,Credit Valley hospital: (905) 813-2200,,,
Trillium Health Partners - Clinical Administrative Building,Trillium Health Partners - Clin Admin Bldg,https://trilliumhealthpartners.ca/covid-19/A/assessment.html#starthere,,,Patient.Relations@thp.ca,Missisauga hospital: (905) 848-7100,,,
William Osler Health System - Humber,William Osler Health System - Etobicoke,https://www.williamoslerhs.ca/patients-and-families/preparing-for-your-visit-or-stay/coronavirus-information-for-patients-families/assessment-centre-for-covid-19,,Yes,https://www.williamoslerhs.ca/about-osler/contact-us/contact-us,Hospital's main line: 905/416-494-2120.,,,
"William Osler Health System - South Fletcher's Sportsplex, Brampton",William Osler Health System,https://www.williamoslerhs.ca/patients-and-families/preparing-for-your-visit-or-stay/coronavirus-information-for-patients-families/assessment-centre-for-covid-19,,,https://www.williamoslerhs.ca/about-osler/contact-us/contact-us,Hospital's main line: 905/416-494-2120.,,,
Lakeridge Health - Oshawa,Lakeridge Health,covidswab.lh.ca,,,,"Lakeridge Health, Oshawa hospital: 905-576-8711",,,
Lakeridge Health - Ajax Pickering,Lakeridge Health,covidswab.lh.ca,,,,"Lakeridge Health, Ajax Pickering Hospital: 905-683-2320",,,
Kirkland and District Hospital,Kirkland Lake Hospital,,705-568-2127,Yes,,,,,
Collingwood Health Centre,Georgian Bay Family Health Team and Collingwood General & Marine Hospital,www.gbfht.ca/cac,705-444-5885,Yes,info@gbfht.ca,Collingwood Health Centre: 705-444-5885,,,
Chigamik Community Health Centre,Georgian Bay General Hospital,http://gbgh.on.ca/covid-19-self-assessment-tool/,705-529-1025,,,"Georgian Bay General Hospital, Midland site: 705-526-1300",,,
Headwaters Health Care Centre,Headwaters Health Care Centre,https://www.wdgpublichealth.ca/your-health/covid-19-information-public/assessment-centres-wdg,519-822-2715 ext. 7006,Yes,,,,,
Markham Stouffville Hospital,Markham Stouffville Hospital,https://www.msh.on.ca/about-us/covid-19-information-page#assessment,,,myhospital@msh.on.ca,Markham site: 905-472-7373,,,
Bracebridge Rotary Centre,Muskoka Algonquin Healthcare,https://www.mahc.ca/en/services/covid19.aspx#,1-888-383-7009,,,,,,
Huntsville District Memorial Hospital,Muskoka Algonquin Healthcare,https://www.mahc.ca/en/services/covid19.aspx#,1-888-383-7009,,,,,,
Muskoka COVID-19 Assessment Centre,Muskoka Algonquin Healthcare,https://www.mahc.ca/en/services/muskoka-assessment-centre.aspx,,,info@mahc.ca,,,,
Orillia Soldiers' Memorial Hospital,Orillia Soldiers' Memorial Hospital,https://www.osmh.on.ca/covid-19/,705-325-2201,Yes,administration@osmh.on.ca,,,,
Barrie Community Health Centre,Royal Victoria Regional Health Centre,https://www.rvh.on.ca/SitePages/coronavirus.aspx,,," Donna Danyluk, Communications Representative: danylukd@rvh.on.ca"," Donna Danyluk, Communications Representative: 705-728-9090 Ext 41610",,,
Stevenson Memorial Hospital,Stevenson Memorial Hospital,http://www.stevensonhospital.ca/news/index.html?id=265,705-435-6281,Yes,communications@smhosp.on.ca,,,,
Almonte General Hospital,Almonte General Hospital,http://www.almontegeneral.com/assessmentcentre,613-325-1208,Yes,info@agh-fvm.com,,,,
Brockville General Hospital,Brockville General Hospital,https://www.brockvillegeneralhospital.ca/en/patient-care/covid-19-coronavirus.aspx#,613-704-1441,,https://www.brockvillegeneralhospital.ca/Modules/contact/search.aspx?s=c9iBl64zWIM6BBwLPlUspoPlQeQuAleQuAl&_mid_=19201,,,,
Brewer Park Arena,The Ottawa Hospital and CHEO,https://www.ottawapublichealth.ca/en/public-health-topics/novel-coronavirus.aspx,,,https://www.ottawapublichealth.ca/en/shared-content/assessment-centres.aspx#Are-the-clinics-accessible-to-people-in-wheelchairs,,,,
Cornwall COVID-19 Assessment Centre,Cornwall Community Hospital,https://eohu.ca/en/covid/covid-19-testing-assessment-centres,613-935-7762,,,,,,
Akausivik Inuit Family Health Team - COVID-19 Assessment Centre,Akausivik Inuit Family Health Team Assessment Centre provides culturally specific services for Inuit (please call first),https://eohu.ca/en/covid-19-novel-coronavirus,613-740-0999,,https://www.ottawapublichealth.ca/en/shared-content/assessment-centres.aspx#Are-the-clinics-accessible-to-people-in-wheelchairs,,,,
Haliburton Highlands Health Services,Haliburton Highlands Health Services,https://www.haliburtoncares.ca/,"705-457-1212, ext. 6",,,,,,
Hawkesbury and District General Hospital  - Children Rehab Clinic,Hawkesbury and District General Hospital,https://eohu.ca/en/covid/covid-19-testing-assessment-centres,1-800-267-7120,,,,,,
Casselman COVID-19 Assessment Centre,Eastern Ontario Health Unit - Casselman office,https://eohu.ca/en/covid/covid-19-testing-assessment-centres,1-800-267-7120,Yes,,,,,
Rockland COVID-19 Assessment Centre,Clarence-Rockland Family Health Team Office,https://eohu.ca/en/covid/covid-19-testing-assessment-centres,1-800-267-7120,,,,,,
Hôpital Montfort - St. Patrick's Intermediate School,Hôpital Montfort,https://hopitalmontfort.com/en/second-covid-19-care-clinic-opening-ottawa-east-thursday,613-746-4621,,,,,,
Kingston Memorial Centre,Kingston Health Sciences Centre,https://www.kflaph.ca/Modules/News/index.aspx?newsId=ac53feb2-35a4-4a09-bd86-dd7c62755eaa,613-549-1232,,,,,,
Lennox and Addington County General Hospital,Lennox and Addington County General Hospital,http://web.lacgh.napanee.on.ca/en/newsroom?newsid=84,613-354-8254,,,,,,
Akwesasne COVID-19 Assessment Centre,Mohawk Council of Akwesasne Department of Health,http://www.akwesasne.ca/covid-19-novel-coronavirus-information/,613-575-5005 ext. 3704 or 613-575-2331 ext. 3702,Yes,,,,,
North Hastings COVID-19 Assessment Center,Quinte Healthcare Corporation,,613-332-2825 ext 2222,Yes,,,,,
Perth and Smiths Falls District Hospital - Smiths Falls Site,Perth and Smiths Falls District Hospital,https://psfdh.on.ca/2020/04/03/community-assessment-centre/,613-283-2330 ext. 1401,,,,,,
Prince Edward Community Centre,Prince Edward Covid-19 Assessment Centre,https://hpepublichealth.ca/the-novel-coronavirus-2019ncov/,613-813-6864,Yes,,,,,
Queensway Carlton Hospital - D. Aubrey Moodie School,Queensway Carlton Hospital,https://www.ottawapublichealth.ca/en/shared-content/assessment-centres.aspx,,,,,,,
Quinte Healthcare - Quinte Secondary School,Quinte Healthcare,https://hpepublichealth.ca/the-novel-coronavirus-2019ncov/,613-961-5544,Yes,,,,,
Quinte West COVID-19 Assessment Centre,Quinte Healthcare,https://hpepublichealth.ca/the-novel-coronavirus-2019ncov/,613-961-5544,Yes,,,,,
Cobden Arena,Arnprior Regional Health,https://rcvtac.ca/,1-844-727-6404,,,,,,
Civic Centre,Arnprior Regional Health,https://rcvtac.ca/,1-844-727-6404,,,,,,
Pembroke Assessment Centre,Arnprior Regional Health,https://rcvtac.ca/,1-844-727-6404,,,,,,
